#
#  43 kVp Tungsten, 0.7 mm inherent Aluminum filtration
#
#     Mean energy: 25.100 keV
#     1st HVL:      0.716 mm Al
#     photon fluence transmission factor: XXX
#     photon fluence * mm^2: 4.7669e+05
#
#  Spectrum generated using SPEKTR
#
#  Energy [eV]    Num. photons/(mm^2*keV)
# ----------------------------------------------------
5.0e3       0.000000153
6.0e3       0.011420868
7.0e3       5.911007295
8.0e3       302.958927838
9.0e3       3319.566019398
10.0e3       11696.229078893
11.0e3       26384.080262710
12.0e3       49789.663375925
13.0e3       83621.243117022
14.0e3       133104.352602114
15.0e3       192623.551341854
16.0e3       256068.648123594
17.0e3       319357.427114569
18.0e3       380125.296268372
19.0e3       428688.454770919
20.0e3       472241.137400153
21.0e3       509932.880561277
22.0e3       540614.679335343
23.0e3       563887.787178468
24.0e3       578384.827212792
25.0e3       585396.537705853
26.0e3       590019.474274069
27.0e3       582044.341209714
28.0e3       570692.504011538
29.0e3       566874.964740167
30.0e3       555004.649465398
31.0e3       531432.338511295
32.0e3       507256.686776636
33.0e3       480796.840619364
34.0e3       443516.954302503
35.0e3       406480.248437918
36.0e3       365820.117792813
37.0e3       327933.718910425
38.0e3       278909.786833097
39.0e3       228033.388136260
40.0e3       186376.562308952
41.0e3       131556.583809702
42.0e3       76802.630619344
43.0e3       0.000000001
